Filename,Deterministic_MK,Stochastic_MK
job3_m4_176.json,50.00,50.00
job4_m4_177.json,53.00,53.00
job5_m4_178.json,61.00,61.00
job4_m3_179.json,65.00,65.00
job6_m4_180.json,57.00,57.00
job6_m4_181.json,72.00,72.00
job4_m4_182.json,45.00,45.00
job6_m3_183.json,94.00,94.00
job3_m4_184.json,48.00,48.00
job6_m3_185.json,86.00,86.00
job6_m3_186.json,81.00,81.00
job3_m4_187.json,50.00,50.00
job6_m4_188.json,71.00,71.00
job5_m4_189.json,58.00,58.00
job6_m4_190.json,57.00,57.00
job6_m3_191.json,97.00,97.00
job4_m3_192.json,62.00,62.00
job4_m3_193.json,59.00,59.00
job4_m3_194.json,64.00,64.00
job6_m4_195.json,79.00,79.00
job3_m4_196.json,55.00,55.00
job6_m4_197.json,69.00,69.00
job6_m4_198.json,79.00,79.00
job6_m3_199.json,98.00,98.00
job4_m4_200.json,55.00,55.00
job4_m4_201.json,42.00,42.00
job3_m4_202.json,57.00,57.00
job6_m3_203.json,85.00,85.00
job4_m3_204.json,56.00,56.00
job4_m3_205.json,59.00,59.00
job4_m3_206.json,70.00,70.00
job4_m4_207.json,49.00,49.00
job4_m4_208.json,63.00,63.00
job6_m4_209.json,68.00,68.00
job6_m4_210.json,77.00,77.00
job6_m4_211.json,66.00,66.00
job4_m3_212.json,63.00,63.00
job4_m4_213.json,55.00,55.00
job5_m3_214.json,57.00,57.00
job3_m3_215.json,57.00,57.00
job3_m3_216.json,47.00,47.00
job3_m4_217.json,50.00,50.00
job6_m3_218.json,75.00,75.00
job3_m4_219.json,50.00,50.00
job5_m4_220.json,58.00,58.00
job4_m3_221.json,69.00,69.00
job3_m4_222.json,50.00,50.00
job4_m4_223.json,54.00,54.00
job3_m3_224.json,43.00,43.00
job4_m4_225.json,66.00,66.00
job6_m4_226.json,61.00,61.00
job3_m3_227.json,62.00,62.00
job4_m4_228.json,57.00,57.00
job6_m3_229.json,90.00,90.00
job4_m3_230.json,54.00,54.00
job5_m3_231.json,84.00,84.00
job4_m4_232.json,40.00,40.00
job6_m4_233.json,63.00,63.00
job3_m4_234.json,38.00,38.00
job4_m3_235.json,56.00,56.00
job3_m4_236.json,38.00,38.00
job3_m3_237.json,62.00,62.00
job3_m4_238.json,47.00,47.00
job3_m4_239.json,53.00,53.00
job6_m3_240.json,76.00,76.00
job5_m4_241.json,65.00,65.00
job4_m4_242.json,56.00,56.00
job3_m4_243.json,44.00,44.00
job5_m4_244.json,56.00,56.00
job6_m3_245.json,77.00,77.00
job6_m4_246.json,71.00,71.00
job5_m3_247.json,71.00,71.00
job4_m4_248.json,49.00,49.00
job6_m3_249.json,96.00,96.00
job6_m3_250.json,96.00,96.00
job6_m4_251.json,71.00,71.00
job3_m4_252.json,40.00,40.00
job6_m3_253.json,91.00,91.00
job6_m3_254.json,92.00,92.00
job4_m4_255.json,53.00,53.00
job6_m4_256.json,76.00,76.00
job5_m4_257.json,68.00,68.00
job6_m4_258.json,79.00,79.00
job6_m4_259.json,80.00,80.00
job4_m4_260.json,54.00,54.00
job3_m3_261.json,56.00,56.00
job3_m4_262.json,46.00,46.00
job4_m4_263.json,54.00,54.00
job5_m4_264.json,67.00,67.00
job4_m4_265.json,50.00,50.00
job4_m3_266.json,63.00,63.00
job3_m4_267.json,41.00,41.00
job3_m4_268.json,41.00,41.00
job3_m4_269.json,55.00,55.00
job5_m4_270.json,54.00,54.00
job4_m3_271.json,58.00,58.00
job4_m4_272.json,52.00,52.00
job3_m3_273.json,45.00,45.00
job4_m4_274.json,57.00,57.00
job6_m4_275.json,67.00,67.00
job3_m4_276.json,52.00,52.00
job4_m4_277.json,44.00,44.00
job4_m3_278.json,79.00,79.00
job5_m4_279.json,62.00,62.00
job4_m4_280.json,46.00,46.00
job6_m3_281.json,91.00,91.00
job4_m4_282.json,57.00,57.00
job3_m3_283.json,52.00,52.00
job5_m3_284.json,96.00,96.00
job5_m3_285.json,75.00,75.00
job3_m3_286.json,46.00,46.00
job3_m3_287.json,54.00,54.00
job5_m4_288.json,51.00,51.00
